NOME DA ESTACIÓN;ENDEREZO;CONCELLO;CÓDIGO POSTAL;PROVINCIA;TELÉFONO;HORARIO;SOLICITUDE DE CITA PREVIA;CORREO ELECTRÓNICO;COORDENADAS GMAPS
Estación ITV de Viveiro;Rúa A Xunqueira, s/n;Viveiro;27850;Lugo;881 920 963;de 8:30 a 14:00 e de 16:00 a 19:30 horas (de luns a venres) e de 8:00 a 14:30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=viveiro;viveiro@sycitv.com;43° 39.382', -7° 36.091'
Estación ITV de Verín;Polígono de Pazos - Parcela A-6;Verín;32600;Ourense;988 411 539 - 881 920 966;de 8:30 a 14:00 e de 16:00 a 19:30 horas (de luns a venres) e de 8:00 a 14:30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=verin;verin@sycitv.com;41° 55.723', -7° 27.876'
Estación ITV do Espírito Santo;Estrada Nacional VI, km 582 - Polígono do Espírito Santo;Sada;15168;A Coruña;;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=o-espirito-santo;espsanto@sycitv.com;43° 18.856', -8° 17.165'
Estación ITV de Bueu;Polígono Industrial de Castiñeiras - Parcela 32;Bueu;36390;Pontevedra;;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=bueu;bueu@sycitv.com;95.123,-200.987
Estación ITV de Foz;Rúa Chelas, 17 - Cangas;Foz;27780;Lugo;881 920 962;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=foz;foz@sycitv.com;43° 37.159', -7° 19.383'
Estación ITV de Monforte de Lemos;Rúa do Morín, s/n;Monforte de Lemos;999999;Lugo;982 410 412;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=monforte-de-lemos;;42° 32.491', -7° 30.038'
Estación ITV do Barco;Avenida do Sil, 35 - Viloira;Barco de Valdeorras, O;32315;Ourense;881 920 967;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=o-barco;obarco@sycitv.com;42° 24.578', -6° 58.435'
Estación ITV de Santiago-Tambre;Vía de la Cierva, 2;Santiago de Compostela;15890;A Coruña;981 571 100 - 881 920 326;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=santiago-tambre;tambre@sycitv.com;42° 54.775', -8° 31.618'
Estación ITV de Lalín;Parque empresarial Lalín 2000 - Parcela B-52;Lalín;36500;Pontevedra;986 794 103 - 881 920 970;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=lalin;lalin@sycitv.com;42° 40.534', -8° 9.183'
Estación ITV de Ribeira;Avenida da Coruña, 76 - Polígono Industrial de Xarás;Ribeira;15969;A Coruña;981 872 400;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=ribeira;;42° 34.439', -8° 59.915'
Estación ITV da Coruña-Sabón;Avenida da Deputación - Polígono Industrial de Sabón - Parcela 69;Arteixo;15142;A Coruña;981 602 356 - 881 920 323;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/estacions-syc/a-coruna-sabon/;sabon@sycitv.com;43° 18.891', -8° 30.461'
 Estación ITV de Lalín;Parque empresarial Lalín 2000 - Parcela B-52;Lalín;36500;Pontevedra;986 794 103 - 881 920 970;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=lalin;lalin@sycitv.com;42° 40.534', -8° 9.183'
